Detected (True/False):         Color:                                             Runtime [s]:  
True                           ['yellow']                                         0.107778   
True                           ['yellow']                                         0.084903   
True                           ['yellow']                                         0.082588   
True                           ['yellow']                                         0.082100   
True                           ['yellow']                                         0.082356   
True                           ['yellow']                                         0.082638   
True                           ['yellow']                                         0.082229   
True                           ['yellow']                                         0.082575   
True                           ['yellow']                                         0.082168   
True                           ['yellow']                                         0.082283   
True                           ['yellow']                                         0.081844   
True                           ['yellow']                                         0.082099   
True                           ['yellow']                                         0.082279   
True                           ['yellow']                                         0.082727   
True                           ['yellow']                                         0.082206   
True                           ['yellow']                                         0.082876   
True                           ['yellow']                                         0.082286   
True                           ['yellow']                                         0.082577   
True                           ['yellow']                                         0.082163   
True                           ['yellow']                                         0.082252   
True                           ['yellow']                                         0.081901   
True                           ['yellow']                                         0.082689   
True                           ['yellow']                                         0.082351   
True                           ['yellow']                                         0.082279   
True                           ['yellow']                                         0.081463   
True                           ['yellow']                                         0.082658   
True                           ['yellow']                                         0.081955   
True                           ['yellow']                                         0.163418   
True                           ['yellow']                                         0.162654   
True                           ['yellow']                                         0.162007   
True                           ['yellow']                                         0.162684   
True                           ['yellow']                                         0.162452   
True                           ['yellow']                                         0.163720   
True                           ['yellow']                                         0.162927   
True                           ['yellow']                                         0.162182   
True                           ['yellow']                                         0.161389   
True                           ['yellow']                                         0.180143   
True                           ['yellow']                                         0.162456   
True                           ['yellow']                                         0.161355   
True                           ['yellow']                                         0.161520   
True                           ['yellow']                                         0.161144   
True                           ['yellow']                                         0.161603   
True                           ['yellow']                                         0.162150   
True                           ['yellow']                                         0.097525   
True                           ['yellow']                                         0.081991   
True                           ['yellow']                                         0.081548   
True                           ['yellow']                                         0.082274   
True                           ['yellow']                                         0.081785   
True                           ['yellow']                                         0.082369   
True                           ['yellow']                                         0.081901   
True                           ['yellow']                                         0.082571   
True                           ['yellow']                                         0.082119   
True                           ['yellow']                                         0.082635   
True                           ['yellow']                                         0.084195   
True                           ['yellow']                                         0.082418   
True                           ['yellow']                                         0.082024   
True                           ['yellow']                                         0.081662   
True                           ['yellow']                                         0.082259   
True                           ['yellow']                                         0.081658   
True                           ['yellow']                                         0.082247   
True                           ['yellow']                                         0.082239   
True                           ['yellow']                                         0.082447   
True                           ['yellow']                                         0.082357   
True                           ['yellow']                                         0.082401   
True                           ['yellow']                                         0.082270   
True                           ['yellow']                                         0.082704   
True                           ['yellow']                                         0.082207   
True                           ['yellow']                                         0.082153   
True                           ['yellow']                                         0.082637   
True                           ['yellow']                                         0.082510   
True                           ['yellow']                                         0.082526   
True                           ['yellow']                                         0.082503   
True                           ['yellow']                                         0.082490   
True                           ['yellow']                                         0.083398   
True                           ['yellow']                                         0.082841   
True                           ['yellow']                                         0.100017   
True                           ['yellow']                                         0.163843   
True                           ['yellow']                                         0.163108   
True                           ['yellow']                                         0.163685   
True                           ['yellow']                                         0.163253   
True                           ['yellow']                                         0.162925   
True                           ['yellow']                                         0.168449   
True                           ['yellow']                                         0.170017   
True                           ['yellow']                                         0.173187   
True                           ['yellow']                                         0.187895   
True                           ['yellow']                                         0.188975   
True                           ['yellow']                                         0.188056   
True                           ['yellow']                                         0.189324   
True                           ['yellow']                                         0.184427   
True                           ['yellow']                                         0.187131   
True                           ['yellow']                                         0.186116   
True                           ['yellow']                                         0.107996   
True                           ['yellow', 'green']                                0.093582   
True                           ['yellow', 'pink', 'green', 'orange']              0.100190   
True                           ['yellow', 'pink', 'green', 'orange']              0.103896   
True                           ['yellow', 'pink', 'green', 'orange']              0.103800   
True                           ['yellow', 'pink', 'green', 'orange']              0.102400   
True                           ['yellow', 'pink', 'green', 'orange']              0.102275   
True                           ['yellow', 'pink', 'green', 'orange']              0.103033   
True                           ['yellow', 'pink', 'green', 'orange']              0.103042   
True                           ['yellow', 'pink', 'green', 'orange']              0.094944   
True                           ['yellow', 'pink', 'green', 'orange']              0.092185   
True                           ['yellow', 'pink', 'green', 'orange']              0.091408   
True                           ['yellow', 'pink', 'orange']                       0.089196   
True                           ['yellow', 'pink', 'orange']                       0.089859   
True                           ['yellow', 'pink', 'green', 'orange']              0.087541   
True                           ['yellow', 'pink', 'green', 'orange']              0.105403   
True                           ['yellow', 'pink', 'green', 'orange']              0.090683   
